0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
11147,# doc = important_events_and_wicca.2.txt,,,,,,,,,,,,,,,,
11148,# speaker = В,,,,,,,,,,,,,,,,
11149,# sent = 843,,,,,,,,,,,,,,,,
11150,,Расскажи,РАССКАЗАТЬ,V pf - sg imper - 2p,,,_Расскажи_ про ... три,и,ж,а,к,с,с,V,РАССКАЗАТЬ,V pf - sg imper - 2p,Ь
11151,,про,ПРО,PR,,,Расскажи _про_ ... три вещи,о,р,п,,,,PR,ПРО,PR,О
11152,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
11153,,три,ТРИ,NUM nom - -,,,Расскажи про ... _три_ вещи или события,и,р,т,,,,NUM,ТРИ,NUM nom - -,И
11154,,вещи,ВЕЩЬ,S f inan acc pl,,,"про ... три _вещи_ или события ,",и,щ,е,в,,,S,ВЕЩЬ,S f inan acc pl,Ь
11155,,или,ИЛИ,CONJ,,,"... три вещи _или_ события , которые",и,л,и,,,,CONJ,ИЛИ,CONJ,И
11156,,события,СОБЫТИЕ!,S n inan acc pl,,,"три вещи или _события_ , которые сильно",я,и,т,ы,б,о,S,СОБЫТИЕ,S n inan nom pl,Е
11157,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
11158,,которые,КОТОРЫЙ,APRO - nom pl plen - -,,,"или события , _которые_ сильно повлияли на",е,ы,р,о,т,о,APRO,КОТОРЫЙ,A - nom pl plen - -,Й
11159,,сильно,СИЛЬНО,ADV -,,,"события , которые _сильно_ повлияли на твою",о,н,ь,л,и,с,ADV,СИЛЬНО,ADV -,О
11160,,повлияли,ПОВЛИЯТЬ,V pf praet pl indic - -,,,", которые сильно _повлияли_ на твою жизнь",и,л,я,и,л,в,V,ПОВЛИЯТЬ,V pf praet pl indic - -,Ь
11161,,на,НА,PR,,,которые сильно повлияли _на_ твою жизнь .,а,н,,,,,PR,НА,PR,А
11162,,твою,ТВОЙ,APRO - acc sg plen f -,,,сильно повлияли на _твою_ жизнь .,ю,о,в,т,,,APRO,ТВОЙ,A - acc sg plen f -,Й
11163,,жизнь,ЖИЗНЬ,S f inan acc sg,,,повлияли на твою _жизнь_ .,ь,н,з,и,ж,,S,ЖИЗНЬ,S f inan acc sg,Ь
11164,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11165,,,,,,,,,,,,,,,,,
11166,# sent = 844,,,,,,,,,,,,,,,,
11167,,Как,КАК!,ADVPRO -,,,. _Как_ можно подробнее .,к,а,к,,,,ADV,КАК,ADV -,К
11168,,можно,МОЖНО,PRAEDIC,,,Как _можно_ подробнее .,о,н,ж,о,м,,PRAEDIC,МОЖНО,PRAEDIC,О
11169,,подробнее,ПОДРОБНО!,ADV comp,,,Как можно _подробнее_ .,е,е,н,б,о,р,ADV,ПОДРОБНО,ADV comp2,О
11170,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
11171,,,,,,,,,,,,,,,,,
11172,# sent = 845,,,,,,,,,,,,,,,,
11173,# speaker = Полина,,,,,,,,,,,,,,,,
11174,# sent = 846,,,,,,,,,,,,,,,,
